Phase One,,,,,,,,,,,
Scrote,,,Mike Escamilla ,,,,,,,,
Taserface,,,Chris Sullivan,,,,,,,,
Tulik,,,Tommy Flanagan,,,,,,,,
Introduced in Spider-Man: Homecoming ,,,,,,,,,,,
Abraham ,,,,Abraham Attah ,,,,,,,
"Jackson Brice ""Shocker"" ",,,,Angourie Rice ,,,,,,,Angourie Rice 
Charles ,,,,Logan Marshall-Green ,,,,,,,
Cindy ,,,,Michael Barbieri,,,,,,,
Mr. Cobwell,,,,Tiffany Espensen,,,Tiffany Espensen,,,,
Aaron Davis ,,,,Tunde Adebimpe,,,,,,,
Mr. Delmar ,,,,Donald Glover,,,,,,,
Mac Gargan ,,,,Hemky Madera ,,,,,,,
Mr. Hapgood,,,,Michael Mando,,,,,,,
Anne Marie Hoag ,,,,John Penick ,,,,,,,
Jason Ionello ,,,,Tyne Daly ,,,,,,,
Karen ,,,,Jorge Ledenborg Jr.,,,,,,,Jorge Ledenborg Jr.
Ned Leeds ,,,,Jennifer Connelly ,,,,,,,
Liz ,,,,Jacob Batalon ,,,Jaccob Batalon,,,Jacob Batalon,Jacob Batalon 
"Phineas Mason ""Tinkerer""",,,,Laura Harrier ,,,,,,,
"Michelle ""MJ""",,,,Michael Chernus ,,,,,,,
Principal Morita ,,,,Zendaya,,,,,,,Zendaya
Sally ,,,,Kenneth Choi ,,,,,,,
"Herman Schultz ""Shocker""",,,,Isabella Amara ,,,Isabella Amara ,,,,
Seymour ,,,,Bokeem Woodbine ,,,,,,,
"Eugene ""Flash"" Thompson ",,,,J.J. Totah ,,,,,,,
Tiny,,,,Tony Revolori ,,,,,,,Tony Revolori 
"Adrian Toomes ""Vulture""",,,,Ethan Dizon ,,,Ethan Dizon,,,,
Doris Toomes,,,,Garcelle Beauvais,,,,,,,
Ms. Warren ,,,,Selenis Leyva,,,,,,,
Coach Wilson,,,,Hannibal Buress,,,,,,,
Introduced in Thor:Ragnarok,,,,,,,,,,,
Grandmaster ,,,,,Jeff Goldblum,,,,,,
Hela,,,,,Cate Blanchett,,,,,,
Korg ,,,,,Taika Waititi,,,,,Taika Waititi,
Skurge,,,,,Karl Urban ,,,,,,
Surtur,,,,,Clancy Brown,,,,,,
Topaz,,,,,Taika Waititi,,,,,,
Valkyrie,,,,,Rachel House,,,,,Tessa Thompson,
Introduced in Black Panther ,,,,,,,,,,,
Linda ,,,,,,Nabiyah Be,,,,,
M'Baku ,,,,,,Winston Duke ,Winston Duke,,,Winston Duke,
N'Jadaka/ Erik 'Killmonger' Stevens ,,,,,,Michael B. Jordan,,,,,
N'Jobu ,,,,,,Sterling Brown ,,,,,
Okoye ,,,,,,Danai Gurira,Danai Gurira,,,Danai Gurira,
Ramonda,,,,,,Angel Bassett ,,,,Angela Bassett ,
Shuri,,,,,,Letitia Wright ,Letitia Wright ,,,Letitia Wright ,
W'Kabi,,,,,,Daniel Kaluuya ,,,,,
Xoliswa,,,,,,Sydelle Noel,,,,,
Zuri,,,,,,Forest Whitaker ,,,,,
Nakia,,,,,,Lupita Nyong'o,,,,,
